,nom,racions,ingredients,passos
0,Iogurt grec amb fraules,,"['Iogurt grec 200g', 'Fraules 100-150g', 'Nous i ametlles 30g', 'Xía 10-20g', 'Canyella al gust']","['Tallar les fraules i mesclar tot en un bol.', 'Se li podria afegir una cullerada d’eritritol, o estèvia.']"
1,Solomillo de vedella Strogonoff i arròs basmati,,"['Solomillo de vedella 150-200g', 'Xampinyons 100g', 'Ceba blanca 50g', 'Alls 2', 'Julivert fresc 3g', 'Oli d’oliva verge 7g (½ cullerada)', 'Mantega 10g', 'Nata líquida 30g', 'Tomí (sec) 0,5g (3g si fresc)', 'Agua 10g', 'Sal i pebre bo al gust']","['Adobar la carn amb sal i prebe bò.', 'Posar la mantega i la meitat de l’oli a la paella i sofregir la ceba i l’all fins que la ceba sigui transparent.', 'Afegir el tomí i els xampinyons1 (coure a foc alt 3 min, remenant).', 'Treure-ho tot de la paella i reservar en un bol.', 'Afegir la resta d’oli i saltejar la carn (foc alt, fins que dauri per fora).', 'Afegir el reservat (xampinyons…).', 'Afegir l’aigua i la nata. Deixar evaporar i apagar el foc.', 'Servir amb julivert tallat petit.']"
2,Espàrrecs embolicats en pernil,,"['½ manat d’espàrrecs', '3-4 llesques de pernil salat', 'Oli d’oliva']","['Preparar forn 150ºC.', 'Xepam les llesques de cuixot salat.', 'Amb elles embolicam els espàrrecs (½ mana). Recorda llevar la part més dura de l’espàrrec. 1', 'Tira un raig d’oli per damunt.', 'Li pots posar espècies si t’agraden: pebre bò…', 'Enforna durant 15 min.']"
3,Amanida verda:,,"['20g lletuga', '15g rúcula', '20g espinacs', '15g Kales (o col)', '15ml oli d’oliva', '5ml vinagre (opcional)', 'sal']","['Renta les verdures', 'Talla-les', 'Trempa-les']"
4,Ous remenats amb espàrrecs i formatge,,"['3 ous', '30 g de formatge semicurat', '6-7 espàrrecs cuits (½ manat)', ""3g de cibulet o 1⁄2 part verd d'una ceba tendra o grell"", '10 g de mantega sense sal freda', ""7 ml d'oli d'oliva (1 cullerada)"", 'Sal i pebre al gust']","['Saltejar els espàrrecs (emprar l’oli) i reservar-los.', 'Posar la mantega primer i tirar (quasi immediatament) els ous batuts', 'Abans de que es coguin tirar el cibulet i formatge tallat i els espàrrecs.', 'Afegir sal i pebre bò.', 'Remenar-ho tot fins que els ous siguin cuits.']"
5,Mini amanida verda:,,"[""20g d'enciam roman"", '15g de ruca', ""20g d'espinacs"", '15g de kale', ""15ml d'oli d'oliva (1 cullerada)"", '5ml de vinagre (opcional)', 'Sal']",['Mesclar tots els ingredinets en un bol + ½ alvocat.']
6,Crotant de formatge:,,"['30 g de formatge parmesà', 'Espècies diverses: pebre bo, curry, pebre vermell, nou moscada…']","['Encalentir el forn a 250ºC', 'Rallar el formatge parmesà', 'Col.locar el formatge parmesà en caramulls (3-4) damunt paper de forn', 'Posar-li pebre bò i altres (aconsello posar diferents espècies als diferents munts, li donarà gustos diferents.', 'Enfornar durante 10-15 min → Si es crema una mica el formatge serà més bo i més cruixent.']"
7,Cuinat de llenties,,"['150g de llenties crues', ""750ml d'aigua"", ""2 dents d'all"", '1 full de llorer', ""15ml d'oli d'oliva"", '200 g de ceba blanca', '0.3g de comí en pols (opcional)', '0.5g de pebre vermell dolç (opcional)', ""100 g d'espinacs fresques (o kale)"", 'Sal al gust']","['Posar les llenties prèviament remullades i colades dins una olla.', ""Cobrir amb l'aigua, afegir l'all picat, el comí, la fulla de llorer i una mica de sal."", 'Deixar-les bullir a foc més o menys lent, entre 25 i 35 min. Afegir agua si fa falta.', 'Comprovar que estiguin cuites. Llevar el llorer. Tapar i deixar a foc lent.', ""Encalentir la paella a foc mitjà amb l'oli d'oliva. Sofregir la ceba d'1 a 2 minuts, afegir el pebre vermell en pols i remenar."", 'Afegir el sofregit a les llenties i remenar.', ""Afegir les fulles d'espinacs. Pujar la temperatura i cuinar tapat per 10 minuts més."", 'Ajustar la sal i la quantitat de líquid al gust.2', ""Servir calentes o tèbies amb un rajolí d'oli d'oliva.""]"
8,amanida,,"[""45g d'enciam roman"", '25g de ruca', ""25g d'espinacs"", '20g de kale', ""15ml d'oli d'oliva (1 cullerada)"", '5 ml de vinagre (opcional)', 'Sal']",['Mesclar les fulles i trempar']
9,Ous frits amb pernil salat i ½ alvocat,,"['3 ous', '30g de cuixot salat', ""7ml d'oli d'oliva (1⁄2 cullerada)"", 'Sal i pebre al gust', '½ alvocat']","['posar l’oli a la paella, deixar encalentir per uns minuts i tirar-hi els ous,', 'quan el blanc estigui cuit, posar sal i pebre bò al gust', 'Servirlos, i afegir 30 g de cuixot salat (si agrada es pot passar per la paella fins que quedi cruixent) i el mig alvocat (amb sal)']"
